2025-10-21 08:38:32,325 | INFO | __main__ | Synthetic data generation permitted via --allow-synthetic flag
2025-10-21 08:38:32,334 | INFO | logos.data_loader | Downloading DEMO [1d] from Yahoo Finance
2025-10-21 08:38:33,569 | INFO | __main__ | Paper trading mode enabled: no live broker interactions will be attempted
2025-10-21 08:38:36,263 | INFO | __main__ | Starting backtest via CLI
2025-10-21 08:38:36,265 | INFO | logos.data_loader | Downloading FAKE_SYNTH [1d] from Yahoo Finance
2025-10-21 08:38:37,498 | ERROR | yfinance | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: FAKE_SYNTH"}}}
2025-10-21 08:38:37,703 | ERROR | yfinance | 
1 Failed download:
2025-10-21 08:38:37,706 | ERROR | yfinance | ['FAKE_SYNTH']: YFTzMissingError('possibly delisted; no timezone found')
2025-10-21 08:38:37,729 | WARNING | logos.data_loader | Yahoo Finance returned no rows for FAKE_SYNTH [1d]. Using fallback data.
2025-10-21 08:38:58,578 | INFO | __main__ | Starting backtest via CLI
2025-10-21 08:38:58,579 | INFO | __main__ | Synthetic data generation permitted via --allow-synthetic flag
2025-10-21 08:38:58,588 | INFO | logos.data_loader | Downloading DEMO [1d] from Yahoo Finance
2025-10-21 08:38:59,711 | INFO | __main__ | Paper trading mode enabled: no live broker interactions will be attempted
2025-10-21 08:39:01,933 | INFO | __main__ | Starting backtest via CLI
2025-10-21 08:39:01,934 | INFO | logos.data_loader | Downloading FAKE_SYNTH [1d] from Yahoo Finance
2025-10-21 08:39:03,640 | ERROR | yfinance | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: FAKE_SYNTH"}}}
2025-10-21 08:39:03,918 | ERROR | yfinance | 
1 Failed download:
2025-10-21 08:39:03,921 | ERROR | yfinance | ['FAKE_SYNTH']: YFTzMissingError('possibly delisted; no timezone found')
2025-10-21 08:39:03,935 | WARNING | logos.data_loader | Yahoo Finance returned no rows for FAKE_SYNTH [1d]. Using fallback data.
2025-10-21 08:40:55,770 | INFO | __main__ | Starting backtest via CLI
2025-10-21 08:40:55,770 | INFO | __main__ | Synthetic data generation permitted via --allow-synthetic flag
2025-10-21 08:40:55,780 | INFO | logos.data_loader | Downloading DEMO [1d] from Yahoo Finance
2025-10-21 08:40:56,773 | INFO | __main__ | Paper trading mode enabled: no live broker interactions will be attempted
2025-10-21 08:40:58,935 | INFO | __main__ | Starting backtest via CLI
2025-10-21 08:40:58,936 | INFO | logos.data_loader | Downloading FAKE_SYNTH [1d] from Yahoo Finance
2025-10-21 08:41:00,242 | ERROR | yfinance | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: FAKE_SYNTH"}}}
2025-10-21 08:41:00,579 | ERROR | yfinance | 
1 Failed download:
2025-10-21 08:41:00,582 | ERROR | yfinance | ['FAKE_SYNTH']: YFTzMissingError('possibly delisted; no timezone found')
2025-10-21 08:41:00,594 | WARNING | logos.data_loader | Yahoo Finance returned no rows for FAKE_SYNTH [1d]. Using fallback data.
2025-10-21 08:42:40,798 | INFO | __main__ | Starting backtest via CLI
2025-10-21 08:42:40,798 | INFO | __main__ | Synthetic data generation permitted via --allow-synthetic flag
2025-10-21 08:42:40,807 | INFO | logos.data_loader | Downloading DEMO [1d] from Yahoo Finance
2025-10-21 08:42:41,609 | INFO | __main__ | Paper trading mode enabled: no live broker interactions will be attempted
2025-10-21 08:42:43,718 | INFO | __main__ | Starting backtest via CLI
2025-10-21 08:42:43,719 | INFO | logos.data_loader | Downloading FAKE_SYNTH [1d] from Yahoo Finance
2025-10-21 08:42:45,081 | ERROR | yfinance | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: FAKE_SYNTH"}}}
2025-10-21 08:42:45,327 | ERROR | yfinance | 
1 Failed download:
2025-10-21 08:42:45,329 | ERROR | yfinance | ['FAKE_SYNTH']: YFTzMissingError('possibly delisted; no timezone found')
2025-10-21 08:42:45,338 | WARNING | logos.data_loader | Yahoo Finance returned no rows for FAKE_SYNTH [1d]. Using fallback data.
2025-10-21 08:43:43,709 | INFO | __main__ | Starting backtest via CLI
2025-10-21 08:43:43,709 | INFO | __main__ | Synthetic data generation permitted via --allow-synthetic flag
2025-10-21 08:43:43,719 | INFO | logos.data_loader | Downloading DEMO [1d] from Yahoo Finance
2025-10-21 08:43:44,379 | INFO | __main__ | Paper trading mode enabled: no live broker interactions will be attempted
2025-10-21 08:43:46,629 | INFO | __main__ | Starting backtest via CLI
2025-10-21 08:43:46,632 | INFO | logos.data_loader | Downloading FAKE_SYNTH [1d] from Yahoo Finance
2025-10-21 08:43:48,029 | ERROR | yfinance | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: FAKE_SYNTH"}}}
2025-10-21 08:43:48,481 | ERROR | yfinance | 
1 Failed download:
2025-10-21 08:43:48,483 | ERROR | yfinance | ['FAKE_SYNTH']: YFTzMissingError('possibly delisted; no timezone found')
2025-10-21 08:43:48,489 | WARNING | logos.data_loader | Yahoo Finance returned no rows for FAKE_SYNTH [1d]. Using fallback data.
2025-10-21 08:44:44,619 | INFO | __main__ | Starting backtest via CLI
2025-10-21 08:44:44,619 | INFO | __main__ | Synthetic data generation permitted via --allow-synthetic flag
2025-10-21 08:44:44,630 | INFO | logos.data_loader | Downloading DEMO [1d] from Yahoo Finance
2025-10-21 08:44:45,832 | INFO | __main__ | Paper trading mode enabled: no live broker interactions will be attempted
2025-10-21 08:44:48,017 | INFO | __main__ | Starting backtest via CLI
2025-10-21 08:44:48,018 | INFO | logos.data_loader | Downloading FAKE_SYNTH [1d] from Yahoo Finance
2025-10-21 08:44:49,326 | ERROR | yfinance | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: FAKE_SYNTH"}}}
2025-10-21 08:44:49,611 | ERROR | yfinance | 
1 Failed download:
2025-10-21 08:44:49,615 | ERROR | yfinance | ['FAKE_SYNTH']: YFTzMissingError('possibly delisted; no timezone found')
2025-10-21 08:44:49,637 | WARNING | logos.data_loader | Yahoo Finance returned no rows for FAKE_SYNTH [1d]. Using fallback data.
2025-10-21 09:26:54,420 | INFO | __main__ | Starting backtest via CLI
2025-10-21 09:26:54,420 | INFO | __main__ | Synthetic data generation permitted via --allow-synthetic flag
2025-10-21 09:26:54,430 | INFO | logos.data_loader | Downloading DEMO [1d] from Yahoo Finance
2025-10-21 09:26:55,557 | INFO | __main__ | Paper trading mode enabled: no live broker interactions will be attempted
2025-10-21 09:26:57,901 | INFO | __main__ | Starting backtest via CLI
2025-10-21 09:26:57,902 | INFO | logos.data_loader | Downloading FAKE_SYNTH [1d] from Yahoo Finance
